drop,participant,session,mriMode,isPractice,runFilename,contextRole,contextId,cueId,isSick,corrButton,response.keys,response.rt,response.corr,restaurant,food,isTrain,roundId,trialId,expStartWallTime,actualChoiceOnset,actualChoiceOffset,actualIsiOnset,actualIsiOffset,actualFeedbackOnset,actualFeedbackOffset,actualItiOnset,actualItiOffset,actualItiDuration,itiDriftAdjustment,stimOnset,stimOffset,itiDuration,itiOffset
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,0,No,right,right,2.18702697754,1,Burger Masters,fast_food0.png,1,3,13,Sun Oct 30 13:56:11 2016,91.954282999,94.21453619,94.2148761749,95.2476511002,95.2480070591,96.2482340336,96.2484381199,97.9487571716,1.78558897972,-0.0273840427399,92.0,97.0,1.0,98.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,1,No,right,right,0.993917942047,1,Burger Masters,fast_food2.png,1,3,14,Sun Oct 30 13:56:11 2016,97.9525921345,99.0298771858,99.0302112103,100.0629282,100.063350201,101.06362915,101.063844204,103.947626114,2.97024297714,-0.0358390808105,98.0,103.0,1.0,104.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,1,No,right,right,1.19991898537,1,Burger Masters,fast_food2.png,1,3,15,Sun Oct 30 13:56:11 2016,103.951315165,105.22796011,105.228302002,106.261046171,106.261404991,107.261640072,107.261852026,109.961311102,2.77217388153,-0.0279071331024,104.0,109.0,1.0,110.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,0,No,right,right,1.25945997238,1,Burger Masters,fast_food0.png,1,3,16,Sun Oct 30 13:56:11 2016,109.965070009,111.292957067,111.293292999,112.325989008,112.326320171,113.326534986,113.326725006,117.959533215,4.70716190338,-0.0333781242371,110.0,115.0,3.0,118.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,0,Yes,left,left,0.879963159561,1,Dave's Sandwiches,fast_food0.png,1,3,17,Sun Oct 30 13:56:11 2016,117.963240147,118.907319069,118.90765214,119.940462112,119.940818071,120.941205025,120.941437006,125.973219156,5.09280586243,-0.0272309780121,118.0,123.0,3.0,126.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,0,No,right,right,1.17297410965,1,Burger Masters,fast_food0.png,1,3,18,Sun Oct 30 13:56:11 2016,125.977025986,127.221619129,127.221981049,128.255244017,128.255588055,129.255803108,129.255994081,137.95335722,8.77851700783,-0.0485088825226,126.0,131.0,7.0,138.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,1,Yes,left,left,1.6181101799,1,Dave's Sandwiches,fast_food2.png,1,3,19,Sun Oct 30 13:56:11 2016,137.957086086,139.651312113,139.651684046,140.684403181,140.684827089,141.685106039,141.685334206,147.95126605,6.34882593155,-0.0330638885498,138.0,143.0,5.0,148.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,0,Yes,left,left,0.911149978638,1,Dave's Sandwiches,fast_food0.png,1,3,20,Sun Oct 30 13:56:11 2016,147.955018044,148.93189311,148.932228088,149.965032101,149.965366125,150.965579033,150.965773106,153.964758158,3.06822991371,-0.0206201076508,148.0,153.0,1.0,154.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,0,No,None,left,2.00037288666,0,Dave's Sandwiches,fast_food0.png,0,3,1,Sun Oct 30 13:56:11 2016,157.974267006,160.045244217,160.045611143,163.977566004,163.977905989,163.978124142,163.978317022,170.02819705,5.98386192322,-0.0161380767822,158.0,164.0,6.0,170.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,2,No,None,left,2.04618096352,0,Dave's Sandwiches,fast_food1.png,0,3,2,Sun Oct 30 13:56:11 2016,170.033187151,172.158380032,172.158779144,176.040813208,176.041163206,176.041399002,176.041617155,178.024834156,1.9301879406,-0.0698120594025,170.0,176.0,2.0,178.0
